Id;Label;In-Degree;Out-Degree;Degree
hep-th/0608008;hep-th/0608008;85;42;127
hep-ph/0101210;hep-ph/0101210;84;0;84
gr-qc/0506096;gr-qc/0506096;27;16;43
hep-th/0507182;hep-th/0507182;75;43;118
astro-ph/0308111;astro-ph/0308111;57;7;64
gr-qc/0605050;gr-qc/0605050;3;51;54
gr-qc/0312041;gr-qc/0312041;24;13;37
gr-qc/0511127;gr-qc/0511127;23;1;24
gr-qc/0703132;gr-qc/0703132;16;17;33
astro-ph/0005004;astro-ph/0005004;59;1;60
hep-th/0511233;hep-th/0511233;21;14;35
hep-th/0608015;hep-th/0608015;44;17;61
hep-th/0110167;hep-th/0110167;47;27;74
hep-th/0611071;hep-th/0611071;58;109;167
gr-qc/0511034;gr-qc/0511034;16;13;29
hep-th/0405034;hep-th/0405034;162;37;199
hep-th/0403159;hep-th/0403159;15;16;31
hep-th/0309062;hep-th/0309062;32;18;50
hep-th/0411102;hep-th/0411102;20;11;31
gr-qc/0505101;gr-qc/0505101;33;3;36
astro-ph/0209037;astro-ph/0209037;48;10;58
gr-qc/0511071;gr-qc/0511071;6;14;20
hep-th/0312082;hep-th/0312082;31;42;73
hep-th/0305207;hep-th/0305207;47;64;111
astro-ph/0604154;astro-ph/0604154;39;34;73
gr-qc/0509008;gr-qc/0509008;28;0;28
gr-qc/9509044;gr-qc/9509044;20;1;21
gr-qc/0410046;gr-qc/0410046;35;0;35
astro-ph/0506392;astro-ph/0506392;9;21;30
hep-ph/0311312;hep-ph/0311312;185;18;203
hep-th/0308176;hep-th/0308176;98;7;105
hep-th/9908005;hep-th/9908005;15;1;16
hep-th/0301067;hep-th/0301067;35;33;68
hep-th/9707066;hep-th/9707066;12;0;12
hep-th/0410116;hep-th/0410116;17;23;40
hep-th/0601225;hep-th/0601225;35;42;77
hep-th/9802097;hep-th/9802097;31;2;33
hep-th/0309222;hep-th/0309222;44;38;82
hep-th/0505216;hep-th/0505216;12;24;36
hep-th/0311212;hep-th/0311212;30;19;49
hep-th/0304049;hep-th/0304049;114;29;143
hep-th/0501108;hep-th/0501108;42;27;69
hep-th/0602166;hep-th/0602166;18;0;18
hep-th/0301054;hep-th/0301054;21;8;29
hep-th/0507138;hep-th/0507138;13;29;42
hep-th/0203115;hep-th/0203115;33;9;42
hep-th/0212245;hep-th/0212245;27;53;80
hep-th/0205132;hep-th/0205132;41;18;59
hep-th/0406192;hep-th/0406192;37;23;60
hep-th/0601071;hep-th/0601071;2;52;54
hep-th/0407180;hep-th/0407180;23;34;57
hep-th/9810231;hep-th/9810231;42;1;43
hep-th/0507152;hep-th/0507152;15;7;22
hep-ph/0410194;hep-ph/0410194;4;4;8
hep-ph/0409188;hep-ph/0409188;1;5;6
hep-ph/9510366;hep-ph/9510366;11;8;19
math/0609036;math/0609036;0;1;1
hep-th/9405121;hep-th/9405121;51;10;61
0708.0662;0708.0662;0;4;4
hep-th/0408200;hep-th/0408200;10;16;26
gr-qc/0612047;gr-qc/0612047;33;25;58
gr-qc/0607093;gr-qc/0607093;18;12;30
hep-th/0607094;hep-th/0607094;10;29;39
hep-th/0502234;hep-th/0502234;0;1;1
hep-th/0006104;hep-th/0006104;3;1;4
hep-lat/0010039;hep-lat/0010039;1;6;7
hep-th/0001181;hep-th/0001181;3;4;7
hep-lat/9907018;hep-lat/9907018;2;2;4
hep-th/0002243;hep-th/0002243;3;4;7
hep-th/9906189;hep-th/9906189;8;5;13
hep-th/0002251;hep-th/0002251;6;2;8
hep-lat/9903011;hep-lat/9903011;9;3;12
hep-th/0608214;hep-th/0608214;9;7;16
hep-th/0602185;hep-th/0602185;40;14;54
hep-th/0604025;hep-th/0604025;31;13;44
hep-th/0605113;hep-th/0605113;53;42;95
hep-th/0109146;hep-th/0109146;8;9;17
hep-th/0210259;hep-th/0210259;11;0;11
hep-th/0607251;hep-th/0607251;6;6;12
hep-th/0603024;hep-th/0603024;49;14;63
hep-th/9910009;hep-th/9910009;2;1;3
hep-ph/9602385;hep-ph/9602385;56;2;58
hep-th/0407008;hep-th/0407008;1;2;3
solv-int/9804006;solv-int/9804006;6;0;6
hep-th/0012099;hep-th/0012099;2;6;8
quant-ph/0404120;quant-ph/0404120;31;8;39
cond-mat/0409611;cond-mat/0409611;12;4;16
quant-ph/0501110;quant-ph/0501110;14;9;23
quant-ph/0411123;quant-ph/0411123;1;2;3
hep-th/9403137;hep-th/9403137;72;33;105
quant-ph/9904022;quant-ph/9904022;13;6;19
quant-ph/0211074;quant-ph/0211074;72;6;78
quant-ph/0304098;quant-ph/0304098;29;18;47
0806.1452;0806.1452;0;27;27
hep-th/9511188;hep-th/9511188;78;5;83
gr-qc/0305037;gr-qc/0305037;93;32;125
hep-th/0609028;hep-th/0609028;13;27;40
hep-th/0606096;hep-th/0606096;17;19;36
hep-th/0611005;hep-th/0611005;41;39;80
hep-th/0205142;hep-th/0205142;74;10;84
hep-th/0211024;hep-th/0211024;48;23;71
hep-th/0512022;hep-th/0512022;21;56;77
hep-th/0603200;hep-th/0603200;5;23;28
gr-qc/0301052;gr-qc/0301052;56;13;69
hep-th/0406111;hep-th/0406111;32;21;53
hep-th/0703102;hep-th/0703102;7;34;41
hep-th/9804031;hep-th/9804031;18;21;39
hep-th/0003295;hep-th/0003295;59;8;67
hep-th/9705223;hep-th/9705223;41;14;55
gr-qc/9502023;gr-qc/9502023;6;5;11
gr-qc/9309010;gr-qc/9309010;6;1;7
gr-qc/9303002;gr-qc/9303002;6;0;6
gr-qc/9308012;gr-qc/9308012;10;1;11
gr-qc/9210008;gr-qc/9210008;15;0;15
gr-qc/9406044;gr-qc/9406044;8;2;10
0811.1915;0811.1915;0;12;12
hep-th/0207206;hep-th/0207206;15;16;31
hep-th/0208218;hep-th/0208218;4;2;6
hep-th/0103032;hep-th/0103032;48;19;67
hep-th/9710119;hep-th/9710119;149;15;164
hep-ph/9602424;hep-ph/9602424;21;5;26
hep-th/9711178;hep-th/9711178;58;19;77
hep-th/0304206;hep-th/0304206;67;38;105
hep-th/0512292;hep-th/0512292;26;19;45
hep-th/0607245;hep-th/0607245;0;2;2
hep-th/9512067;hep-th/9512067;3;0;3
hep-th/9510162;hep-th/9510162;5;0;5
hep-lat/0308023;hep-lat/0308023;4;9;13
hep-th/0211267;hep-th/0211267;14;5;19
hep-lat/0206017;hep-lat/0206017;4;4;8
hep-th/9505070;hep-th/9505070;67;7;74
hep-lat/9510026;hep-lat/9510026;23;2;25
hep-th/9404140;hep-th/9404140;60;1;61
hep-lat/9512030;hep-lat/9512030;23;2;25
hep-lat/9909099;hep-lat/9909099;14;6;20
hep-lat/9802005;hep-lat/9802005;27;1;28
hep-th/0601129;hep-th/0601129;8;45;53
hep-th/9711139;hep-th/9711139;11;7;18
astro-ph/0311015;astro-ph/0311015;56;8;64
hep-th/0310224;hep-th/0310224;12;19;31
gr-qc/0308033;gr-qc/0308033;29;6;35
hep-th/0307085;hep-th/0307085;50;15;65
gr-qc/9606088;gr-qc/9606088;80;6;86
gr-qc/9703038;gr-qc/9703038;13;13;26
gr-qc/9703037;gr-qc/9703037;12;12;24
quant-ph/0009072;quant-ph/0009072;7;1;8
hep-th/0407213;hep-th/0407213;24;34;58
gr-qc/9705021;gr-qc/9705021;52;9;61
gr-qc/0405060;gr-qc/0405060;13;19;32
gr-qc/9311010;gr-qc/9311010;23;1;24
gr-qc/9910079;gr-qc/9910079;25;20;45
gr-qc/9612035;gr-qc/9612035;88;28;116
hep-th/0005232;hep-th/0005232;24;31;55
hep-th/0401172;hep-th/0401172;18;40;58
astro-ph/0411124;astro-ph/0411124;8;6;14
hep-th/0507235;hep-th/0507235;14;71;85
gr-qc/0306008;gr-qc/0306008;36;60;96
hep-th/0405273;hep-th/0405273;49;34;83
gr-qc/0412039;gr-qc/0412039;13;6;19
hep-th/0601004;hep-th/0601004;18;11;29
hep-th/0403108;hep-th/0403108;9;5;14
gr-qc/0011106;gr-qc/0011106;18;18;36
hep-th/0501114;hep-th/0501114;51;74;125
astro-ph/0607380;astro-ph/0607380;9;22;31
hep-th/0409182;hep-th/0409182;6;7;13
gr-qc/0505033;gr-qc/0505033;15;20;35
gr-qc/0505032;gr-qc/0505032;26;0;26
gr-qc/0102038;gr-qc/0102038;35;28;63
gr-qc/9609034;gr-qc/9609034;34;16;50
hep-th/9901010;hep-th/9901010;22;2;24
hep-th/0603032;hep-th/0603032;13;0;13
gr-qc/0509118;gr-qc/0509118;15;23;38
hep-th/9905017;hep-th/9905017;6;3;9
hep-th/0408048;hep-th/0408048;58;165;223
hep-th/0505016;hep-th/0505016;29;29;58
hep-th/0211111;hep-th/0211111;37;0;37
hep-th/0502237;hep-th/0502237;5;7;12
hep-th/0309250;hep-th/0309250;7;3;10
hep-th/0309251;hep-th/0309251;8;3;11
hep-th/0112032;hep-th/0112032;6;43;49
hep-ph/0312034;hep-ph/0312034;13;19;32
hep-ph/9605455;hep-ph/9605455;10;5;15
hep-ph/9612324;hep-ph/9612324;5;4;9
hep-th/0608211;hep-th/0608211;12;67;79
hep-th/0008087;hep-th/0008087;28;18;46
hep-th/0303011;hep-th/0303011;17;42;59
gr-qc/0312059;gr-qc/0312059;291;281;572
hep-th/0403298;hep-th/0403298;20;29;49
hep-ph/0106343;hep-ph/0106343;16;14;30
hep-th/0507239;hep-th/0507239;9;43;52
hep-th/0102147;hep-th/0102147;24;0;24
hep-th/0607185;hep-th/0607185;22;18;40
hep-th/0607189;hep-th/0607189;8;23;31
hep-th/0506035;hep-th/0506035;31;66;97
hep-th/0606238;hep-th/0606238;5;37;42
hep-th/0103138;hep-th/0103138;25;12;37
hep-th/0004109;hep-th/0004109;108;19;127
hep-th/0407176;hep-th/0407176;49;22;71
hep-th/0302143;hep-th/0302143;29;23;52
hep-th/0001192;hep-th/0001192;117;54;171
hep-th/0602086;hep-th/0602086;23;36;59
hep-th/0312092;hep-th/0312092;35;51;86
hep-th/0508038;hep-th/0508038;23;64;87
hep-th/0106076;hep-th/0106076;42;34;76
hep-th/0004097;hep-th/0004097;133;12;145
hep-th/0411155;hep-th/0411155;16;26;42
hep-ph/0211377;hep-ph/0211377;10;30;40
hep-th/0101105;hep-th/0101105;37;24;61
hep-th/0603026;hep-th/0603026;56;60;116
hep-th/0505108;hep-th/0505108;13;22;35
hep-ph/0003129;hep-ph/0003129;269;28;297
hep-th/0304040;hep-th/0304040;19;41;60
hep-th/0302054;hep-th/0302054;15;29;44
hep-th/0005127;hep-th/0005127;55;41;96
hep-th/0104177;hep-th/0104177;58;0;58
hep-th/9912186;hep-th/9912186;58;20;78
hep-th/0512278;hep-th/0512278;10;31;41
hep-th/0508185;hep-th/0508185;21;25;46
hep-th/0406211;hep-th/0406211;25;90;115
hep-th/0007239;hep-th/0007239;26;39;65
hep-th/0510220;hep-th/0510220;11;15;26
hep-th/0308108;hep-th/0308108;37;22;59
hep-th/0312269;hep-th/0312269;26;19;45
hep-th/0109099;hep-th/0109099;28;53;81
hep-th/0205320;hep-th/0205320;35;22;57
hep-th/0302017;hep-th/0302017;33;36;69
hep-th/0309176;hep-th/0309176;32;17;49
hep-th/0508093;hep-th/0508093;31;24;55
hep-th/0510117;hep-th/0510117;12;17;29
hep-th/0505224;hep-th/0505224;17;53;70
gr-qc/0407085;gr-qc/0407085;14;20;34
0905.2757;0905.2757;0;9;9
hep-ph/0410142;hep-ph/0410142;6;42;48
hep-lat/9609042;hep-lat/9609042;10;1;11
hep-lat/0207003;hep-lat/0207003;63;4;67
hep-th/9406003;hep-th/9406003;19;2;21
hep-th/0305208;hep-th/0305208;26;27;53
hep-lat/0604006;hep-lat/0604006;4;7;11
hep-th/0007079;hep-th/0007079;26;25;51
hep-ph/0006217;hep-ph/0006217;16;22;38
hep-lat/0111047;hep-lat/0111047;11;21;32
cond-mat/0009084;cond-mat/0009084;17;16;33
hep-th/0003110;hep-th/0003110;39;35;74
hep-th/9805101;hep-th/9805101;14;9;23
hep-th/9802061;hep-th/9802061;38;6;44
cond-mat/0005286;cond-mat/0005286;16;3;19
hep-th/9806121;hep-th/9806121;16;8;24
hep-th/9503014;hep-th/9503014;17;6;23
hep-th/9510008;hep-th/9510008;25;10;35
cond-mat/9612187;cond-mat/9612187;60;6;66
hep-th/9804080;hep-th/9804080;6;9;15
hep-th/9708141;hep-th/9708141;57;0;57
hep-th/9409176;hep-th/9409176;22;7;29
hep-th/0608212;hep-th/0608212;0;16;16
hep-th/9811255;hep-th/9811255;3;9;12
hep-th/0005258;hep-th/0005258;9;15;24
hep-th/0211140;hep-th/0211140;17;10;27
hep-th/0201125;hep-th/0201125;4;18;22
hep-th/9904159;hep-th/9904159;17;2;19
hep-th/9906172;hep-th/9906172;6;1;7
hep-lat/0301023;hep-lat/0301023;120;70;190
hep-th/9604063;hep-th/9604063;18;7;25
hep-th/0407086;hep-th/0407086;5;21;26
hep-th/0405196;hep-th/0405196;3;22;25
hep-th/9907135;hep-th/9907135;4;6;10
cond-mat/0009080;cond-mat/0009080;2;1;3
q-alg/9601012;q-alg/9601012;9;19;28
hep-th/9501134;hep-th/9501134;10;25;35
hep-th/9501005;hep-th/9501005;5;0;5
q-alg/9507014;q-alg/9507014;4;11;15
hep-th/9512095;hep-th/9512095;3;10;13
hep-th/9508079;hep-th/9508079;5;30;35
hep-th/9507072;hep-th/9507072;4;30;34
hep-th/9408136;hep-th/9408136;17;6;23
hep-th/9508110;hep-th/9508110;2;7;9
hep-th/9510168;hep-th/9510168;8;0;8
q-alg/9512027;q-alg/9512027;3;3;6
hep-th/9305024;hep-th/9305024;8;1;9
hep-th/9404116;hep-th/9404116;7;11;18
hep-th/9505072;hep-th/9505072;1;1;2
q-alg/9601010;q-alg/9601010;0;5;5
hep-th/9406146;hep-th/9406146;15;1;16
hep-th/9309036;hep-th/9309036;11;4;15
hep-th/9410241;hep-th/9410241;15;12;27
hep-th/9405161;hep-th/9405161;13;25;38
hep-th/9310117;hep-th/9310117;46;1;47
0905.2759;0905.2759;0;4;4
hep-th/9605213;hep-th/9605213;25;7;32
hep-th/9609114;hep-th/9609114;12;1;13
q-alg/9601014;q-alg/9601014;7;5;12
q-alg/9506020;q-alg/9506020;8;0;8
hep-th/9401141;hep-th/9401141;3;2;5
hep-lat/0110004;hep-lat/0110004;1;5;6
hep-lat/0107007;hep-lat/0107007;78;10;88
hep-lat/0012025;hep-lat/0012025;30;10;40
hep-lat/0103027;hep-lat/0103027;53;10;63
hep-th/0106185;hep-th/0106185;48;10;58
hep-th/0506208;hep-th/0506208;14;22;36
hep-th/0006247;hep-th/0006247;28;31;59
math/0505111;math/0505111;7;7;14
hep-th/0404196;hep-th/0404196;51;0;51
hep-th/0305136;hep-th/0305136;63;7;70
hep-th/0305133;hep-th/0305133;69;31;100
hep-th/0312286;hep-th/0312286;36;26;62
hep-th/0409204;hep-th/0409204;25;25;50
hep-th/0405138;hep-th/0405138;25;38;63
hep-th/0105038;hep-th/0105038;137;45;182
hep-th/0306001;hep-th/0306001;43;7;50
hep-th/0401135;hep-th/0401135;49;54;103
hep-th/0404184;hep-th/0404184;34;25;59
hep-th/0006100;hep-th/0006100;39;40;79
hep-th/0503207;hep-th/0503207;44;48;92
hep-th/0506209;hep-th/0506209;2;14;16
hep-th/0205116;hep-th/0205116;8;0;8
hep-th/0405169;hep-th/0405169;20;12;32
hep-th/9601146;hep-th/9601146;34;0;34
hep-th/0006050;hep-th/0006050;12;8;20
hep-th/0302117;hep-th/0302117;3;10;13
hep-th/0505254;hep-th/0505254;4;3;7
hep-th/0505214;hep-th/0505214;3;0;3
hep-th/9801091;hep-th/9801091;8;2;10
hep-th/9506052;hep-th/9506052;81;3;84
hep-th/0010201;hep-th/0010201;31;2;33
hep-th/0202038;hep-th/0202038;8;3;11
hep-th/9408009;hep-th/9408009;4;0;4
hep-th/9410107;hep-th/9410107;6;1;7
hep-th/0103013;hep-th/0103013;153;31;184
hep-th/0112185;hep-th/0112185;14;31;45
hep-th/0103179;hep-th/0103179;94;12;106
hep-th/0105002;hep-th/0105002;7;5;12
hep-th/0106136;hep-th/0106136;10;23;33
hep-th/0106016;hep-th/0106016;41;7;48
hep-th/0106138;hep-th/0106138;75;13;88
cond-mat/0109413;cond-mat/0109413;9;9;18
hep-th/0202011;hep-th/0202011;20;34;54
hep-th/0102157;hep-th/0102157;45;26;71
hep-th/0111013;hep-th/0111013;6;50;56
hep-th/0101029;hep-th/0101029;231;0;231
hep-th/0202036;hep-th/0202036;11;10;21
hep-th/9909086;hep-th/9909086;32;14;46
hep-th/0007172;hep-th/0007172;4;21;25
hep-th/9602105;hep-th/9602105;46;0;46
hep-th/9807123;hep-th/9807123;38;14;52
hep-th/0003290;hep-th/0003290;14;17;31
hep-th/0012048;hep-th/0012048;27;8;35
gr-qc/9907041;gr-qc/9907041;51;48;99
hep-th/9705236;hep-th/9705236;65;4;69
gr-qc/9904034;gr-qc/9904034;18;10;28
hep-th/9403018;hep-th/9403018;49;4;53
hep-th/0108055;hep-th/0108055;43;68;111
hep-th/0104201;hep-th/0104201;23;21;44
hep-th/0111266;hep-th/0111266;34;32;66
hep-th/0112019;hep-th/0112019;45;42;87
astro-ph/0106449;astro-ph/0106449;17;8;25
hep-th/0011111;hep-th/0011111;19;61;80
hep-th/9903210;hep-th/9903210;92;50;142
hep-th/0109054;hep-th/0109054;18;73;91
hep-th/0104146;hep-th/0104146;32;22;54
hep-th/0008128;hep-th/0008128;32;43;75
hep-ph/0201295;hep-ph/0201295;22;30;52
hep-ph/0102146;hep-ph/0102146;10;2;12
hep-th/0111269;hep-th/0111269;28;0;28
hep-th/0107143;hep-th/0107143;225;42;267
hep-ph/0102157;hep-ph/0102157;7;5;12
hep-th/0010065;hep-th/0010065;13;11;24
hep-th/0011132;hep-th/0011132;8;14;22
hep-lat/9210002;hep-lat/9210002;18;0;18
hep-th/9302032;hep-th/9302032;5;8;13
hep-th/0108093;hep-th/0108093;43;8;51
hep-th/0112198;hep-th/0112198;79;36;115
hep-th/0112188;hep-th/0112188;53;27;80
hep-th/0101152;hep-th/0101152;172;16;188
hep-th/0109150;hep-th/0109150;27;26;53
hep-th/9108025;hep-th/9108025;10;0;10
hep-th/0103029;hep-th/0103029;25;18;43
hep-th/0106005;hep-th/0106005;51;32;83
hep-th/0202033;hep-th/0202033;0;22;22
hep-th/0008139;hep-th/0008139;4;8;12
hep-th/0207149;hep-th/0207149;21;0;21
hep-th/0012188;hep-th/0012188;12;21;33
hep-th/9911128;hep-th/9911128;5;8;13
gr-qc/0112023;gr-qc/0112023;1;8;9
hep-th/0502040;hep-th/0502040;26;24;50
hep-th/9205095;hep-th/9205095;12;0;12
hep-th/9909083;hep-th/9909083;3;3;6
cond-mat/0011396;cond-mat/0011396;1;0;1
hep-th/9507137;hep-th/9507137;7;2;9
hep-th/0004032;hep-th/0004032;25;14;39
hep-th/0110067;hep-th/0110067;4;36;40
hep-th/9304081;hep-th/9304081;14;1;15
hep-th/0010064;hep-th/0010064;9;1;10
cond-mat/9808004;cond-mat/9808004;3;2;5
hep-th/0112025;hep-th/0112025;2;11;13
hep-th/0112104;hep-th/0112104;4;34;38
hep-th/9710179;hep-th/9710179;14;17;31
hep-th/9410067;hep-th/9410067;29;0;29
hep-th/0104261;hep-th/0104261;1;13;14
hep-th/0202030;hep-th/0202030;28;30;58
hep-th/0105129;hep-th/0105129;48;18;66
hep-th/0108150;hep-th/0108150;76;22;98
hep-th/0111087;hep-th/0111087;36;20;56
hep-th/0107007;hep-th/0107007;19;31;50
hep-th/0107101;hep-th/0107101;47;16;63
hep-th/0204260;hep-th/0204260;39;46;85
hep-th/0106036;hep-th/0106036;75;29;104
hep-th/0201015;hep-th/0201015;66;28;94
hep-th/0111069;hep-th/0111069;59;31;90
hep-th/0105168;hep-th/0105168;109;63;172
hep-th/9306029;hep-th/9306029;9;1;10
hep-th/0106157;hep-th/0106157;64;11;75
hep-th/0112169;hep-th/0112169;42;42;84
hep-th/0105175;hep-th/0105175;25;19;44
hep-th/0106027;hep-th/0106027;19;25;44
hep-th/0106107;hep-th/0106107;15;32;47
hep-th/0112231;hep-th/0112231;33;35;68
hep-th/0111034;hep-th/0111034;53;17;70
hep-th/0109132;hep-th/0109132;15;5;20
hep-th/0112214;hep-th/0112214;21;43;64
hep-th/0105058;hep-th/0105058;110;13;123
hep-th/0105059;hep-th/0105059;101;81;182
hep-th/0202031;hep-th/0202031;1;7;8
hep-th/9306134;hep-th/9306134;6;3;9
hep-th/9408109;hep-th/9408109;19;2;21
hep-th/9210049;hep-th/9210049;9;2;11
hep-th/9805160;hep-th/9805160;18;5;23
hep-th/0109009;hep-th/0109009;5;3;8
hep-th/0110165;hep-th/0110165;3;3;6
cond-mat/0210604;cond-mat/0210604;11;11;22
cond-mat/0110572;cond-mat/0110572;75;2;77
hep-th/0209104;hep-th/0209104;32;10;42
hep-th/0209182;hep-th/0209182;18;14;32
hep-th/0207111;hep-th/0207111;38;0;38
hep-th/0203095;hep-th/0203095;36;16;52
hep-th/0201016;hep-th/0201016;44;37;81
cond-mat/0206164;cond-mat/0206164;32;13;45
hep-th/0203264;hep-th/0203264;69;9;78
hep-th/9706168;hep-th/9706168;33;43;76
hep-th/9705113;hep-th/9705113;17;27;44
hep-th/9705117;hep-th/9705117;151;32;183
hep-th/9705175;hep-th/9705175;29;35;64
hep-th/9703218;hep-th/9703218;81;17;98
hep-th/9610082;hep-th/9610082;70;52;122
hep-th/9704086;hep-th/9704086;7;20;27
hep-th/9702006;hep-th/9702006;42;15;57
hep-th/9702101;hep-th/9702101;102;10;112
hep-th/9405069;hep-th/9405069;44;0;44
hep-th/9612198;hep-th/9612198;38;7;45
hep-th/9704158;hep-th/9704158;79;15;94
hep-th/9704197;hep-th/9704197;41;25;66
hep-th/9704041;hep-th/9704041;76;25;101
hep-th/9702136;hep-th/9702136;106;23;129
hep-th/9703208;hep-th/9703208;17;19;36
hep-th/9705190;hep-th/9705190;29;14;43
hep-th/9705132;hep-th/9705132;28;0;28
hep-th/9508154;hep-th/9508154;157;24;181
hep-th/9703052;hep-th/9703052;54;22;76
hep-th/9705055;hep-th/9705055;63;45;108
hep-th/9706169;hep-th/9706169;17;5;22
hep-th/9512143;hep-th/9512143;33;3;36
hep-th/9609016;hep-th/9609016;17;4;21
hep-th/9706108;hep-th/9706108;20;6;26
hep-th/9612203;hep-th/9612203;22;5;27
hep-th/9706166;hep-th/9706166;10;1;11
hep-th/9509156;hep-th/9509156;1;1;2
hep-th/9706167;hep-th/9706167;4;7;11
hep-th/9609089;hep-th/9609089;9;5;14
hep-th/9206113;hep-th/9206113;4;0;4
hep-th/9705183;hep-th/9705183;10;7;17
hep-th/9611081;hep-th/9611081;5;2;7
hep-th/9310185;hep-th/9310185;15;0;15
hep-th/9706164;hep-th/9706164;0;5;5
hep-th/9307099;hep-th/9307099;15;0;15
hep-th/9509057;hep-th/9509057;6;1;7
hep-th/9408173;hep-th/9408173;5;3;8
hep-th/9503191;hep-th/9503191;2;6;8
hep-th/9706165;hep-th/9706165;6;13;19
hep-th/9705016;hep-th/9705016;12;18;30
hep-th/9509148;hep-th/9509148;61;19;80
hep-th/9703009;hep-th/9703009;17;36;53
hep-th/9706162;hep-th/9706162;0;2;2
hep-th/9504048;hep-th/9504048;8;0;8
hep-th/9612097;hep-th/9612097;7;5;12
hep-th/9706163;hep-th/9706163;3;17;20
hep-th/9405166;hep-th/9405166;15;1;16
hep-lat/9501035;hep-lat/9501035;10;11;21
hep-th/9603159;hep-th/9603159;10;0;10
hep-th/9501012;hep-th/9501012;22;2;24
hep-th/9609054;hep-th/9609054;2;8;10
hep-lat/9702005;hep-lat/9702005;23;8;31
hep-th/9511221;hep-th/9511221;5;0;5
hep-th/9412165;hep-th/9412165;49;1;50
hep-th/9705152;hep-th/9705152;33;13;46
hep-lat/9307006;hep-lat/9307006;102;2;104
hep-th/9602176;hep-th/9602176;15;10;25
hep-lat/9507013;hep-lat/9507013;8;4;12
hep-th/9510067;hep-th/9510067;15;25;40
hep-th/9411137;hep-th/9411137;7;6;13
hep-lat/9501027;hep-lat/9501027;54;19;73
hep-th/9706160;hep-th/9706160;2;2;4
hep-th/9609205;hep-th/9609205;9;11;20
hep-th/9706161;hep-th/9706161;13;12;25
cond-mat/9510055;cond-mat/9510055;27;8;35
solv-int/9509003;solv-int/9509003;6;6;12
hep-th/9607099;hep-th/9607099;89;6;95
hep-th/9607167;hep-th/9607167;75;3;78
hep-th/9706140;hep-th/9706140;34;7;41
hep-th/9109021;hep-th/9109021;31;0;31
hep-th/9204094;hep-th/9204094;27;1;28
hep-th/0701081;hep-th/0701081;3;11;14
hep-th/0307015;hep-th/0307015;215;55;270
hep-th/0404173;hep-th/0404173;34;35;69
hep-th/0204226;hep-th/0204226;346;23;369
hep-th/0410226;hep-th/0410226;73;43;116
hep-th/0701051;hep-th/0701051;4;37;41
hep-th/0701080;hep-th/0701080;11;14;25
hep-th/0503114;hep-th/0503114;67;36;103
hep-th/0611001;hep-th/0611001;36;66;102
hep-th/0605038;hep-th/0605038;20;37;57
hep-th/0605114;hep-th/0605114;14;22;36
hep-th/0604191;hep-th/0604191;19;15;34
hep-th/9108028;hep-th/9108028;53;0;53
hep-th/0701083;hep-th/0701083;13;35;48
hep-th/0612146;hep-th/0612146;9;1;10
hep-th/0612222;hep-th/0612222;8;22;30
gr-qc/0612164;gr-qc/0612164;29;73;102
gr-qc/0512034;gr-qc/0512034;11;14;25
gr-qc/9504022;gr-qc/9504022;25;14;39
hep-th/0612215;hep-th/0612215;26;0;26
hep-th/0605106;hep-th/0605106;5;23;28
hep-th/0605047;hep-th/0605047;13;22;35
hep-th/0605266;hep-th/0605266;39;64;103
hep-th/0602091;hep-th/0602091;18;42;60
hep-th/0503203;hep-th/0503203;115;0;115
hep-th/0701082;hep-th/0701082;8;49;57
hep-th/0412193;hep-th/0412193;69;42;111
hep-th/0611083;hep-th/0611083;29;21;50
hep-th/0604125;hep-th/0604125;53;10;63
hep-th/0507169;hep-th/0507169;11;36;47
hep-th/0612029;hep-th/0612029;30;11;41
hep-th/0411264;hep-th/0411264;140;35;175
hep-th/0505040;hep-th/0505040;73;52;125
hep-th/0501012;hep-th/0501012;15;22;37
hep-th/0512306;hep-th/0512306;14;20;34
hep-th/0505168;hep-th/0505168;28;51;79
hep-th/0512061;hep-th/0512061;17;39;56
hep-th/0504225;hep-th/0504225;106;11;117
hep-th/0505027;hep-th/0505027;66;10;76
hep-th/9710007;hep-th/9710007;46;21;67
hep-th/0505029;hep-th/0505029;69;43;112
hep-th/0202175;hep-th/0202175;9;25;34
hep-th/0603245;hep-th/0603245;26;56;82
hep-th/0504155;hep-th/0504155;23;22;45
hep-th/0605222;hep-th/0605222;11;9;20
hep-th/0611245;hep-th/0611245;30;14;44
hep-th/0701064;hep-th/0701064;27;39;66
hep-th/0601002;hep-th/0601002;23;11;34
hep-th/0411238;hep-th/0411238;125;27;152
hep-th/0012011;hep-th/0012011;88;22;110
hep-th/9809063;hep-th/9809063;9;16;25
hep-th/0605129;hep-th/0605129;16;12;28
hep-th/0102185;hep-th/0102185;46;28;74
hep-th/0505055;hep-th/0505055;60;14;74
hep-th/0011023;hep-th/0011023;68;26;94
hep-th/0505223;hep-th/0505223;54;31;85
hep-th/0505220;hep-th/0505220;68;47;115
hep-th/0505206;hep-th/0505206;69;56;125
hep-th/0505039;hep-th/0505039;13;22;35
hep-th/0701085;hep-th/0701085;40;59;99
hep-th/0304131;hep-th/0304131;68;25;93
astro-ph/0501487;astro-ph/0501487;31;13;44
hep-th/0604160;hep-th/0604160;21;35;56
hep-th/9806039;hep-th/9806039;218;4;222
hep-th/0405281;hep-th/0405281;25;11;36
astro-ph/0601598;astro-ph/0601598;25;39;64
