Id;Label;In-Degree;Out-Degree;Degree
hep-th/0002083;hep-th/0002083;2;2;4
hep-th/9705075;hep-th/9705075;15;1;16
hep-th/9911093;hep-th/9911093;16;3;19
hep-th/0002082;hep-th/0002082;18;6;24
hep-th/9905217;hep-th/9905217;70;12;82
hep-th/9810068;hep-th/9810068;68;5;73
hep-th/9905196;hep-th/9905196;87;1;88
hep-th/9907066;hep-th/9907066;51;3;54
hep-th/9912081;hep-th/9912081;35;0;35
hep-th/9908090;hep-th/9908090;40;8;48
0707.2181;0707.2181;0;26;26
hep-th/0306292;hep-th/0306292;37;25;62
hep-th/0609082;hep-th/0609082;29;56;85
hep-th/0505092;hep-th/0505092;41;61;102
hep-th/0702161;hep-th/0702161;27;34;61
hep-th/0607248;hep-th/0607248;20;63;83
hep-th/0005136;hep-th/0005136;81;11;92
hep-th/0602225;hep-th/0602225;10;21;31
hep-th/0001195;hep-th/0001195;12;2;14
hep-th/0603212;hep-th/0603212;32;59;91
hep-th/0109067;hep-th/0109067;72;28;100
hep-th/0101201;hep-th/0101201;73;11;84
hep-th/0211233;hep-th/0211233;55;10;65
hep-th/0608005;hep-th/0608005;55;75;130
hep-th/0304067;hep-th/0304067;49;8;57
hep-th/0412311;hep-th/0412311;28;37;65
hep-th/0311257;hep-th/0311257;89;54;143
hep-th/0311164;hep-th/0311164;60;54;114
hep-th/0703049;hep-th/0703049;33;108;141
hep-th/0410215;hep-th/0410215;41;45;86
hep-th/0511276;hep-th/0511276;13;8;21
hep-th/0701243;hep-th/0701243;10;5;15
hep-th/0206027;hep-th/0206027;9;3;12
hep-th/0206026;hep-th/0206026;37;7;44
hep-th/0504081;hep-th/0504081;8;10;18
hep-th/0702033;hep-th/0702033;11;23;34
hep-th/9803207;hep-th/9803207;61;1;62
hep-th/0002089;hep-th/0002089;0;5;5
hep-th/9407087;hep-th/9407087;1739;10;1749
hep-th/9408099;hep-th/9408099;1292;8;1300
hep-th/9706109;hep-th/9706109;313;38;351
hep-th/9505075;hep-th/9505075;242;15;257
hep-th/9706082;hep-th/9706082;127;37;164
hep-th/0002088;hep-th/0002088;9;12;21
hep-ph/9208212;hep-ph/9208212;20;0;20
hep-th/9809204;hep-th/9809204;10;60;70
hep-th/9608008;hep-th/9608008;29;2;31
hep-th/9806199;hep-th/9806199;122;164;286
hep-th/9705172;hep-th/9705172;24;12;36
hep-th/9809103;hep-th/9809103;48;0;48
hep-th/9503001;hep-th/9503001;12;1;13
hep-th/9410095;hep-th/9410095;22;0;22
hep-ph/9707324;hep-ph/9707324;10;7;17
hep-th/9303001;hep-th/9303001;29;0;29
hep-th/9502018;hep-th/9502018;9;4;13
hep-th/9501113;hep-th/9501113;96;18;114
hep-ph/0303124;hep-ph/0303124;18;11;29
hep-ph/0104182;hep-ph/0104182;19;7;26
hep-ph/9910462;hep-ph/9910462;72;4;76
gr-qc/9803076;gr-qc/9803076;6;5;11
hep-ph/0210388;hep-ph/0210388;29;8;37
hep-th/0009197;hep-th/0009197;20;12;32
hep-th/9905111;hep-th/9905111;1938;571;2509
hep-th/0211134;hep-th/0211134;17;27;44
hep-th/0205182;hep-th/0205182;25;19;44
hep-th/0012227;hep-th/0012227;65;10;75
hep-ph/0103128;hep-ph/0103128;11;5;16
hep-th/0108223;hep-th/0108223;5;6;11
hep-ph/0303125;hep-ph/0303125;14;14;28
hep-th/0109224;hep-th/0109224;74;12;86
hep-ph/0106031;hep-ph/0106031;13;5;18
hep-th/0209237;hep-th/0209237;4;22;26
hep-th/0209236;hep-th/0209236;6;21;27
hep-ph/9501411;hep-ph/9501411;7;0;7
hep-ph/0107141;hep-ph/0107141;50;17;67
nucl-th/0005064;nucl-th/0005064;33;0;33
hep-ph/9802239;hep-ph/9802239;33;3;36
hep-ph/0202073;hep-ph/0202073;4;7;11
hep-ph/9707327;hep-ph/9707327;77;4;81
hep-ph/0007355;hep-ph/0007355;127;71;198
hep-ph/0202202;hep-ph/0202202;39;14;53
hep-ph/0202194;hep-ph/0202194;79;21;100
hep-ph/9712459;hep-ph/9712459;40;2;42
hep-ph/0303127;hep-ph/0303127;9;7;16
hep-ph/0204174;hep-ph/0204174;10;5;15
hep-lat/9709079;hep-lat/9709079;16;0;16
hep-lat/0112047;hep-lat/0112047;4;16;20
hep-ph/0007223;hep-ph/0007223;41;16;57
hep-th/9905207;hep-th/9905207;5;4;9
hep-lat/9908041;hep-lat/9908041;11;6;17
hep-ph/0104014;hep-ph/0104014;1;2;3
0704.1149;0704.1149;0;4;4
gr-qc/0209076;gr-qc/0209076;2;0;2
