from,to,delta_pagerank
hep-th/9109049,hep-th/9710024,2.133486E-02
hep-th/9109049,hep-th/9407166,2.433379E-02
hep-th/9109049,hep-ph/0010178,1.878590E-02
hep-th/9109049,hep-th/9508037,2.902456E-02
hep-th/9109049,hep-th/9212072,3.526682E-02
hep-th/9109049,hep-th/0308125,3.526702E-02
hep-th/9109049,q-alg/9504017,3.526702E-02
hep-th/9109049,0810.4647,1.588865E-02
hep-th/9109049,hep-th/9904156,2.093477E-02
hep-th/9109049,cond-mat/0202166,3.526701E-02
hep-th/9109049,hep-th/9302020,2.698076E-02
hep-th/9109049,hep-ph/9704349,1.871772E-02
hep-th/9109049,hep-th/0402109,1.780708E-02
hep-th/9109049,hep-th/0203155,1.687553E-02
hep-th/9109049,0712.2454,3.529170E-02
hep-th/9109049,hep-th/0111105,1.644937E-02
hep-th/9109049,hep-th/9802185,1.904994E-02
hep-th/9109049,hep-th/0702054,1.897017E-02
hep-th/9109049,hep-th/9906136,3.526700E-02
hep-th/9109049,hep-th/0403059,3.526702E-02
hep-th/9109049,hep-th/0305132,3.526694E-02
hep-th/9109049,gr-qc/9408023,1.075771E-01
hep-th/9109049,0706.1977,1.976529E-02
hep-th/9109049,0705.1816,1.733315E-02
hep-th/9109049,math/0312512,2.229530E-02
hep-th/9109049,hep-th/0103091,1.793698E-02
hep-th/9109049,hep-th/9206056,1.073723E-01
hep-th/9109049,hep-th/0507146,1.589884E-02
hep-th/9109049,cond-mat/9402065,3.526697E-02
hep-th/9109049,hep-ph/0105278,3.526702E-02
hep-th/9109049,hep-th/9311056,3.526665E-02
hep-th/9109049,hep-th/0511084,3.526702E-02
hep-th/9109049,hep-th/0412097,1.867161E-02
hep-th/9109049,math/0206002,3.526702E-02
hep-th/9109049,hep-th/0110184,1.722737E-02
hep-th/9109049,hep-th/9911006,2.038643E-02
hep-th/9109049,0906.0596,1.601821E-02
hep-th/9109049,hep-th/9702146,3.526702E-02
hep-th/9109049,hep-th/9204095,2.902439E-02
hep-th/9109049,hep-th/9410036,3.526702E-02
hep-th/9109049,hep-th/0112105,2.175053E-02
hep-th/9109049,hep-th/9412108,2.285795E-02
hep-th/9109049,hep-th/9706048,2.249340E-02
hep-th/9109049,hep-th/9510168,3.526701E-02
hep-th/9109049,math/0210029,2.267986E-02
hep-th/9109049,hep-th/9903019,1.702731E-02
hep-th/9109049,gr-qc/0501033,1.826298E-02
hep-th/9109049,gr-qc/9709052,2.081657E-02
hep-th/9109049,solv-int/9509007,2.902456E-02
hep-th/9109049,hep-th/9511211,2.171382E-02
hep-th/9109049,hep-th/9511204,2.129940E-02
hep-th/9109049,math/0312155,2.902454E-02
hep-th/9109049,math/9811092,3.526702E-02
hep-th/9109049,hep-th/0103201,2.436071E-02
hep-th/9109049,hep-th/9906117,2.364021E-02
hep-th/9109049,astro-ph/9806205,3.526702E-02
hep-th/9109049,hep-ph/0610082,1.463018E-02
hep-th/9109049,hep-th/0310056,1.666668E-02
hep-th/9109049,0704.1526,1.894408E-02
hep-th/9109049,0911.5695,1.700294E-02
hep-th/9109049,hep-th/9803013,1.669278E-02
hep-th/9109049,0705.2062,1.908763E-02
hep-th/9109049,hep-th/0312019,1.679175E-02
hep-th/9109049,hep-th/9309017,3.526701E-02
hep-th/9109049,hep-th/0112131,1.703664E-02
hep-th/9109049,hep-th/0409072,5.204503E-02
hep-th/9109049,math/0211319,2.205438E-02
hep-th/9109049,hep-ph/0310355,1.530527E-02
hep-th/9109049,hep-ph/0502169,1.767784E-02
hep-th/9109049,0902.1585,1.988710E-02
hep-th/9109049,hep-th/0011015,2.545551E-02
hep-th/9109049,math/0604405,3.526702E-02
hep-th/9109049,q-alg/9505025,3.526694E-02
hep-th/9109049,gr-qc/0412012,1.740654E-02
hep-th/9109049,hep-th/9911194,1.735439E-02
